algorithm,n_nodes,c,seed,total_time,K,history
betweenness,200,1,17,0.2116,19.0,"[[200, 0.0], [100, 0.0292], [50, 0.0595], [25, 0.0903], [21, 0.1811], [19, 0.2116], [19, 0.2116]]"
degree,200,1,17,0.0165,15.0,"[[200, 0.0], [100, 0.0009], [50, 0.0021], [25, 0.0042], [18, 0.0093], [15, 0.0132], [15, 0.0165]]"
degree_connected,200,1,17,0.0245,15.0,"[[200, 0.0], [100, 0.0052], [50, 0.0083], [25, 0.011], [18, 0.0164], [15, 0.0206], [15, 0.0245]]"
degree_discount,200,1,17,0.0416,14.0,"[[200, 0.0], [100, 0.0039], [50, 0.0076], [25, 0.0121], [18, 0.0219], [15, 0.0305], [14, 0.0416], [14, 0.0416]]"
degree_threshold,200,1,17,0.0118,12.0,"[[200, 0.0], [100, 0.0007], [50, 0.0019], [25, 0.0034], [12, 0.0072], [12, 0.0118]]"
goldberg_liu,200,1,17,360.4467,9.0,"[[200, 0.0], [96, 3.9083], [53, 28.5039], [42, 30.1145], [31, 30.2443], [29, 30.3689], [16, 30.4526], [13, 30.5942], [12, 30.6743], [11, 31.0505], [10, 51.4753], [9, 67.9543], [9, 360.4467]]"
high_thetas,200,1,17,0.0121,19.0,"[[200, 0.0], [100, 0.0016], [50, 0.003], [25, 0.0049], [21, 0.0097], [19, 0.0121], [19, 0.0121]]"
nads_binary_search,200,1,17,360.041,10.0,"[[200, 0.0], [100, 0.0075], [50, 0.0091], [25, 0.011], [21, 0.2863], [19, 0.2892], [18, 0.4527], [17, 0.6069], [16, 0.7537], [15, 0.8912], [14, 1.011], [13, 1.0943], [12, 1.1723], [11, 12.5501], [10, 204.1816], [10, 360.041]]"
betweenness,200,5,17,0.0896,103.0,"[[200, 0.0], [103, 0.0298], [103, 0.0896]]"
degree,200,5,17,0.0024,103.0,"[[200, 0.0], [103, 0.0008], [103, 0.0024]]"
degree_connected,200,5,17,0.0158,103.0,"[[200, 0.0], [103, 0.0053], [103, 0.0158]]"
degree_discount,200,5,17,0.0142,53.0,"[[200, 0.0], [100, 0.0039], [53, 0.0074], [53, 0.0142]]"
degree_threshold,200,5,17,0.0027,52.0,"[[200, 0.0], [100, 0.0007], [52, 0.0017], [52, 0.0027]]"
goldberg_liu,200,5,17,360.2688,12.0,"[[200, 0.0], [97, 3.8758], [33, 27.8743], [32, 29.348], [20, 29.4859], [17, 29.6739], [15, 29.816], [14, 59.8879], [13, 70.8506], [12, 71.7534], [12, 360.2688]]"
high_thetas,200,5,17,0.0129,19.0,"[[200, 0.0], [100, 0.0016], [50, 0.0031], [25, 0.0052], [21, 0.0103], [19, 0.0129], [19, 0.0129]]"
nads_binary_search,200,5,17,360.0298,17.0,"[[200, 0.0], [100, 0.0026], [50, 0.0042], [25, 0.0063], [21, 0.2573], [19, 0.2604], [18, 3.7023], [17, 16.866], [17, 360.0298]]"
betweenness,200,10,17,0.1516,114.0,"[[200, 0.0], [114, 0.0304], [114, 0.1516]]"
degree,200,10,17,0.0036,113.0,"[[200, 0.0], [113, 0.0008], [113, 0.0036]]"
degree_connected,200,10,17,0.0277,113.0,"[[200, 0.0], [113, 0.0053], [113, 0.0277]]"
degree_discount,200,10,17,0.0115,103.0,"[[200, 0.0], [103, 0.0039], [103, 0.0115]]"
degree_threshold,200,10,17,0.0027,52.0,"[[200, 0.0], [100, 0.0006], [52, 0.0017], [52, 0.0027]]"
goldberg_liu,200,10,17,360.2371,16.0,"[[200, 0.0], [100, 3.8592], [60, 27.1196], [55, 28.2868], [41, 28.4329], [38, 28.5455], [25, 28.8012], [24, 29.1599], [22, 29.2559], [21, 29.4956], [19, 30.0121], [18, 86.9931], [17, 87.5943], [16, 351.6883], [16, 360.2371]]"
high_thetas,200,10,17,0.013,24.0,"[[200, 0.0], [100, 0.0018], [50, 0.0033], [25, 0.0057], [24, 0.013], [24, 0.013]]"
nads_binary_search,200,10,17,360.0345,17.0,"[[200, 0.0], [100, 0.0032], [50, 0.0053], [25, 0.009], [21, 0.4147], [19, 0.4345], [18, 5.7492], [17, 30.1838], [17, 360.0345]]"
betweenness,200,20,17,0.1494,114.0,"[[200, 0.0], [114, 0.03], [114, 0.1494]]"
degree,200,20,17,0.0037,113.0,"[[200, 0.0], [113, 0.0008], [113, 0.0037]]"
degree_connected,200,20,17,0.0279,113.0,"[[200, 0.0], [113, 0.0053], [113, 0.0279]]"
