algorithm,n_nodes,c,seed,total_time,K,history
betweenness,200,1,2,0.2605,36.0,"[[200, 0.0], [100, 0.0318], [50, 0.064], [37, 0.1294], [36, 0.2605], [36, 0.2605]]"
degree,200,1,2,0.0094,53.0,"[[200, 0.0], [100, 0.001], [64, 0.0028], [57, 0.0044], [53, 0.0062], [53, 0.0094]]"
degree_connected,200,1,2,0.0296,48.0,"[[200, 0.0], [100, 0.0057], [50, 0.0094], [48, 0.0264], [48, 0.0296]]"
degree_discount,200,1,2,0.0276,62.0,"[[200, 0.0], [100, 0.0051], [64, 0.0099], [62, 0.0233], [62, 0.0276]]"
degree_threshold,200,1,2,0.0159,19.0,"[[200, 0.0], [100, 0.0012], [50, 0.0025], [25, 0.0048], [21, 0.0119], [19, 0.0159], [19, 0.0159]]"
goldberg_liu,200,1,2,360.6484,14.0,"[[200, 0.0], [102, 4.158], [70, 34.7572], [41, 34.9111], [38, 35.0385], [31, 35.1403], [26, 35.3185], [18, 35.4211], [17, 35.7958], [16, 36.5891], [15, 42.6257], [14, 247.923], [14, 360.6484]]"
high_thetas,200,1,2,0.0144,26.0,"[[200, 0.0], [100, 0.0017], [50, 0.0032], [37, 0.0073], [31, 0.0093], [28, 0.0113], [26, 0.0144], [26, 0.0144]]"
nads_binary_search,200,1,2,360.0592,16.0,"[[200, 0.0], [100, 0.0026], [50, 0.0044], [25, 0.0105], [21, 0.312], [19, 0.4056], [18, 2.9485], [17, 10.0007], [16, 33.2849], [16, 360.0592]]"
betweenness,200,5,2,0.1237,107.0,"[[200, 0.0], [107, 0.031], [107, 0.1237]]"
degree,200,5,2,0.0035,106.0,"[[200, 0.0], [107, 0.0009], [106, 0.0018], [106, 0.0035]]"
degree_connected,200,5,2,0.016,103.0,"[[200, 0.0], [103, 0.0053], [103, 0.016]]"
degree_discount,200,5,2,0.0219,113.0,"[[200, 0.0], [114, 0.0043], [113, 0.0137], [113, 0.0219]]"
degree_threshold,200,5,2,0.003,52.0,"[[200, 0.0], [100, 0.0007], [52, 0.0019], [52, 0.003]]"
goldberg_liu,200,5,2,360.3662,16.0,"[[200, 0.0], [103, 4.1292], [42, 33.2665], [37, 34.5848], [22, 34.7594], [17, 34.9086], [16, 59.6271], [16, 360.3662]]"
high_thetas,200,5,2,0.0146,27.0,"[[200, 0.0], [100, 0.0016], [50, 0.003], [37, 0.0065], [31, 0.0085], [28, 0.0105], [27, 0.0146], [27, 0.0146]]"
nads_binary_search,200,5,2,360.001,16.0,"[[200, 0.0], [100, 0.0026], [50, 0.0042], [25, 0.0095], [21, 0.5442], [20, 1.8462], [19, 11.1033], [18, 30.2597], [17, 48.1278], [16, 75.0824], [16, 360.0009]]"
betweenness,200,10,2,0.1245,107.0,"[[200, 0.0], [107, 0.0312], [107, 0.1245]]"
degree,200,10,2,0.0039,112.0,"[[200, 0.0], [112, 0.0008], [112, 0.0039]]"
degree_connected,200,10,2,0.0215,106.0,"[[200, 0.0], [106, 0.0053], [106, 0.0215]]"
