algorithm,n_nodes,c,seed,total_time,K,history
betweenness,200,1,101,0.2157,45.0,"[[200, 0.0], [100, 0.0303], [50, 0.061], [48, 0.1542], [45, 0.1849], [45, 0.2157]]"
degree,200,1,101,0.0032,105.0,"[[200, 0.0], [105, 0.0008], [105, 0.0032]]"
degree_connected,200,1,101,0.0213,105.0,"[[200, 0.0], [105, 0.0053], [105, 0.0213]]"
degree_discount,200,1,101,0.0126,52.0,"[[200, 0.0], [100, 0.0033], [55, 0.0065], [52, 0.0097], [52, 0.0126]]"
degree_threshold,200,1,101,0.0056,55.0,"[[200, 0.0], [100, 0.0011], [55, 0.0023], [55, 0.0056]]"
goldberg_liu,200,1,101,360.6763,12.0,"[[200, 0.0], [101, 3.7453], [64, 30.1282], [45, 30.3019], [40, 30.446], [30, 30.8049], [29, 30.8993], [20, 30.9851], [17, 31.0569], [16, 39.5538], [15, 67.6747], [14, 73.5311], [13, 203.5789], [12, 211.8546], [12, 360.6763]]"
high_thetas,200,1,101,0.0147,16.0,"[[200, 0.0], [100, 0.0014], [50, 0.0027], [25, 0.0045], [18, 0.0087], [16, 0.0147], [16, 0.0147]]"
ns_binary_search,200,1,101,360.0015,15.0,"[[200, 0.0], [100, 0.003], [50, 0.0049], [25, 0.008], [18, 0.1279], [16, 0.2583], [15, 326.7409], [15, 360.0015]]"
betweenness,200,5,101,0.0903,103.0,"[[200, 0.0], [103, 0.0301], [103, 0.0903]]"
degree,200,5,101,0.0031,107.0,"[[200, 0.0], [107, 0.0008], [107, 0.0031]]"
degree_connected,200,5,101,0.0213,107.0,"[[200, 0.0], [107, 0.0052], [107, 0.0213]]"
degree_discount,200,5,101,0.0063,102.0,"[[200, 0.0], [102, 0.0033], [102, 0.0063]]"
degree_threshold,200,5,101,0.0016,102.0,"[[200, 0.0], [102, 0.0008], [102, 0.0016]]"
goldberg_liu,200,5,101,360.1775,15.0,"[[200, 0.0], [104, 3.7467], [45, 29.0935], [41, 30.4781], [24, 30.6113], [22, 30.7067], [19, 30.7857], [18, 30.9448], [17, 50.8157], [16, 51.4227], [15, 67.6611], [15, 360.1775]]"
high_thetas,200,5,101,0.0068,26.0,"[[200, 0.0], [100, 0.0014], [50, 0.0028], [27, 0.0048], [26, 0.0068], [26, 0.0068]]"
ns_binary_search,200,5,101,360.0725,17.0,"[[200, 0.0], [100, 0.0021], [50, 0.0036], [25, 0.1248], [21, 0.366], [19, 0.4148], [18, 7.105], [17, 36.3368], [17, 360.0724]]"
betweenness,200,10,101,0.1205,105.0,"[[200, 0.0], [105, 0.0302], [105, 0.1205]]"
degree,200,10,101,0.0031,115.0,"[[200, 0.0], [115, 0.0007], [115, 0.0031]]"
