algorithm,n_nodes,c,seed,total_time,K,history
betweenness,200,1,13,0.2366,47.0,"[[200, 0.0], [100, 0.0287], [50, 0.0582], [48, 0.207], [47, 0.2366], [47, 0.2366]]"
degree,200,1,13,0.022,30.0,"[[200, 0.0], [100, 0.0008], [50, 0.003], [37, 0.0099], [31, 0.0136], [30, 0.022], [30, 0.022]]"
degree_connected,200,1,13,0.0297,31.0,"[[200, 0.0], [100, 0.0049], [50, 0.0088], [37, 0.0164], [31, 0.0209], [31, 0.0297]]"
degree_discount,200,1,13,0.035,35.0,"[[200, 0.0], [100, 0.0034], [50, 0.0088], [37, 0.0192], [35, 0.035], [35, 0.035]]"
degree_threshold,200,1,13,0.0199,18.0,"[[200, 0.0], [100, 0.0008], [50, 0.0021], [25, 0.0046], [18, 0.0108], [18, 0.0199]]"
goldberg_liu,200,1,13,25.3712,18.0,"[[200, 0.0], [107, 3.7644], [39, 23.7014], [32, 24.9931], [20, 25.0422], [19, 25.2143], [18, 25.3305], [18, 25.3712]]"
high_thetas,200,1,13,0.0164,30.0,"[[200, 0.0], [100, 0.0011], [50, 0.0023], [37, 0.0073], [31, 0.0092], [30, 0.0164], [30, 0.0164]]"
nads_binary_search,200,1,13,360.0554,16.0,"[[200, 0.0], [100, 0.0013], [50, 0.0026], [25, 0.0781], [21, 0.3169], [20, 0.5022], [19, 0.649], [18, 0.7788], [17, 13.5338], [16, 120.3357], [16, 360.0554]]"
betweenness,200,5,13,0.2147,68.0,"[[200, 0.0], [100, 0.0305], [68, 0.0617], [68, 0.2147]]"
degree,200,5,13,0.0085,69.0,"[[200, 0.0], [100, 0.0009], [69, 0.0026], [69, 0.0085]]"
degree_connected,200,5,13,0.0275,69.0,"[[200, 0.0], [100, 0.0054], [69, 0.009], [69, 0.0275]]"
degree_discount,200,5,13,0.0071,102.0,"[[200, 0.0], [102, 0.0036], [102, 0.0071]]"
degree_threshold,200,5,13,0.0115,35.0,"[[200, 0.0], [100, 0.0007], [50, 0.002], [42, 0.0047], [37, 0.0081], [35, 0.0099], [35, 0.0115]]"
goldberg_liu,200,5,13,28.7068,21.0,"[[200, 0.0], [109, 3.8762], [36, 27.4993], [32, 28.5256], [23, 28.5687], [21, 28.6013], [21, 28.7068]]"
high_thetas,200,5,13,0.0135,29.0,"[[200, 0.0], [100, 0.0009], [50, 0.0022], [37, 0.0061], [31, 0.0083], [29, 0.0135], [29, 0.0135]]"
nads_binary_search,200,5,13,360.0399,16.0,"[[200, 0.0], [100, 0.0011], [50, 0.0025], [25, 0.0172], [21, 2.1346], [20, 34.0048], [19, 44.6848], [18, 55.2059], [17, 72.3752], [16, 194.6375], [16, 360.0399]]"
betweenness,200,10,13,0.12,106.0,"[[200, 0.0], [106, 0.0302], [106, 0.12]]"
degree,200,10,13,0.0029,106.0,"[[200, 0.0], [106, 0.0008], [106, 0.0029]]"
degree_connected,200,10,13,0.0213,106.0,"[[200, 0.0], [106, 0.0053], [106, 0.0213]]"
degree_discount,200,10,13,0.0131,111.0,"[[200, 0.0], [114, 0.0031], [111, 0.0064], [111, 0.0131]]"
degree_threshold,200,10,13,0.0019,104.0,"[[200, 0.0], [104, 0.0007], [104, 0.0019]]"
goldberg_liu,200,10,13,60.0586,26.0,"[[200, 0.0], [110, 3.8641], [30, 30.2615], [28, 30.6007], [27, 31.3641], [26, 59.7965], [26, 60.0586]]"
high_thetas,200,10,13,0.0071,38.0,"[[200, 0.0], [100, 0.0011], [50, 0.0024], [39, 0.0054], [38, 0.0071], [38, 0.0071]]"
nads_binary_search,200,10,13,360.0036,23.0,"[[200, 0.0], [100, 0.0012], [50, 0.0026], [25, 6.1829], [24, 76.5238], [23, 233.5711], [23, 360.0035]]"
betweenness,200,20,13,0.1805,121.0,"[[200, 0.0], [122, 0.0301], [121, 0.0604], [121, 0.1805]]"
degree,200,20,13,0.0036,111.0,"[[200, 0.0], [111, 0.0007], [111, 0.0036]]"
