n_nodes,c,seed,num_nodes,num_edges,max_time,GL_build_failed,GL_build_time_s,GL_optimization_time_s,GL_runtime_s,GL_K,NS_runtime_s,NS_K,NS_GL_gap,GL_history_json,NS_history_json
200,1,99,200,502,360.0,False,3.9764,96.5686,100.545,17.0,360.0601,16,-1.0,"[[200, 0.0], [101, 4.1563], [43, 26.2124], [30, 27.5948], [28, 27.6173], [21, 27.6893], [18, 27.8923], [17, 100.466], [17, 100.545]]","[[200, 0.0], [100, 0.0018], [50, 0.0033], [25, 0.0058], [21, 0.434], [20, 0.9173], [19, 1.4321], [18, 4.1126], [17, 17.7857], [16, 48.4931], [16, 360.06]]"
200,5,99,200,502,360.0,False,3.9698,99.6566,103.6264,20.0,360.0921,16,-4.0,"[[200, 0.0], [103, 4.1382], [33, 30.0062], [31, 31.0564], [24, 31.1255], [22, 31.2807], [21, 31.7622], [20, 103.5474], [20, 103.6264]]","[[200, 0.0], [100, 0.0011], [50, 0.1293], [25, 1.7005], [21, 20.3696], [20, 32.6393], [19, 45.511], [18, 49.0567], [17, 75.2063], [16, 113.1093], [16, 360.0921]]"
200,10,99,200,502,360.0,False,3.9685,105.3006,109.2691,25.0,360.004,22,-3.0,"[[200, 0.0], [104, 4.1374], [32, 32.4468], [30, 33.4906], [27, 33.5213], [26, 33.5417], [25, 109.1861], [25, 109.2691]]","[[200, 0.0], [100, 0.0013], [50, 0.1959], [25, 15.0464], [24, 54.7844], [23, 64.9027], [22, 77.248], [22, 360.0039]]"
200,20,99,200,502,360.0,False,3.9566,57.6497,61.6063,31.0,360.0077,31,0.0,"[[200, 0.0], [107, 4.1246], [50, 33.4859], [49, 34.7246], [38, 34.8175], [37, 35.0618], [36, 35.2061], [34, 35.3199], [33, 35.8959], [32, 41.583], [31, 61.5637], [31, 61.6063]]","[[200, 0.0], [100, 0.0036], [50, 0.5663], [37, 14.2662], [34, 34.1939], [33, 83.2474], [32, 144.2302], [31, 153.5149], [31, 360.0076]]"
400,1,99,400,989,720.0,False,30.5449,690.0948,720.6397,29.0,720.0146,25,-4.0,"[[400, 0.0], [210, 32.3362], [72, 404.4751], [60, 416.3528], [34, 417.3563], [31, 420.5606], [30, 433.6817], [29, 493.1415], [29, 720.6397]]","[[400, 0.0], [200, 0.0275], [100, 0.03], [50, 0.0346], [25, 177.7386], [25, 720.0146]]"
400,5,99,400,989,720.0,False,30.596,692.5101,723.1061,31.0,720.5447,29,-2.0,"[[400, 0.0], [212, 32.2626], [69, 530.3692], [59, 540.2308], [35, 541.3042], [34, 542.3431], [33, 543.0335], [32, 547.8302], [31, 604.5347], [31, 723.1061]]","[[400, 0.0], [200, 0.0179], [100, 0.2633], [50, 1.6001], [37, 144.2344], [31, 189.8141], [29, 685.219], [29, 720.5447]]"
400,10,99,400,989,720.0,False,31.1091,691.0848,722.1939,37.0,720.0174,34,-3.0,"[[400, 0.0], [213, 32.781], [58, 545.6141], [44, 552.6276], [43, 556.4555], [39, 557.1114], [38, 561.2604], [37, 616.6303], [37, 722.1939]]","[[400, 0.0], [200, 0.0092], [100, 1.5745], [50, 5.651], [37, 151.85], [34, 379.9726], [34, 720.0173]]"
400,20,99,400,989,720.0,False,32.313,414.3059,446.6189,44.0,720.0208,46,2.0,"[[400, 0.0], [215, 33.9787], [55, 405.6376], [50, 405.855], [49, 410.9595], [48, 414.8027], [47, 416.9562], [46, 421.4105], [45, 429.9695], [44, 446.0019], [44, 446.6189]]","[[400, 0.0], [200, 0.0101], [100, 8.3092], [50, 328.4001], [46, 720.0207], [46, 720.0207]]"
600,1,99,600,1479,1080.0,False,105.285,1004.6694,1109.9544,,1080.0611,40,,[],"[[600, 0.0], [300, 0.0281], [150, 0.329], [75, 13.9049], [40, 1080.0582], [40, 1080.061]]"
600,5,99,600,1479,1080.0,False,108.2972,1010.171,1118.4682,,1080.0303,75,,[],"[[600, 0.0], [300, 0.2898], [150, 2.7042], [75, 41.7098], [75, 1080.0303]]"
600,10,99,600,1479,1080.0,False,107.8717,972.7213,1080.593,,1080.0618,61,,[],"[[600, 0.0], [300, 0.2951], [150, 2.851], [75, 43.8441], [61, 1080.0595], [61, 1080.0618]]"
600,20,99,600,1479,1080.0,False,109.7845,1079.2556,1189.0401,,1080.0374,62,,[],"[[600, 0.0], [300, 0.3709], [150, 42.3224], [75, 184.8281], [62, 1080.0373], [62, 1080.0374]]"
1000,1,99,1000,2475,1800.0,True,,,,,1800.1524,70,,[],"[[1000, 0.0], [500, 0.0067], [250, 0.0152], [125, 153.0014], [70, 1800.1523], [70, 1800.1524]]"
1000,5,99,1000,2475,1800.0,True,,,,,1800.1155,71,,[],"[[1000, 0.0], [500, 0.4072], [250, 3.5318], [125, 263.7368], [71, 1800.1154], [71, 1800.1154]]"
1000,10,99,1000,2475,1800.0,True,,,,,1800.1089,117,,[],"[[1000, 0.0], [500, 4.2829], [250, 16.2803], [125, 296.8317], [117, 1800.1088], [117, 1800.1089]]"
1000,20,99,1000,2475,1800.0,True,,,,,1800.0465,125,,[],"[[1000, 0.0], [500, 12.0382], [250, 100.4607], [125, 463.4836], [125, 1800.0465]]"
2000,1,99,2000,4937,3600.0,True,,,,,3600.1153,125,,[],"[[2000, 0.0], [1000, 0.0146], [500, 0.0329], [250, 39.8032], [125, 2265.24], [125, 3600.1152]]"
2000,5,99,2000,4937,3600.0,True,,,,,3633.8818,133,,[],"[[2000, 0.0], [1000, 2.1298], [500, 16.3572], [250, 241.3521], [133, 3633.8818], [133, 3633.8818]]"
2000,10,99,2000,4937,3600.0,True,,,,,3666.9389,138,,[],"[[2000, 0.0], [1000, 31.748], [500, 61.6536], [250, 377.9515], [138, 3666.9388], [138, 3666.9388]]"
2000,20,99,2000,4937,3600.0,True,,,,,3600.3357,195,,[],"[[2000, 0.0], [1000, 90.776], [500, 219.6823], [250, 831.6479], [195, 3600.3357], [195, 3600.3357]]"
